title	year	kind	KMRB	genre	country	cast	director	runtime(min)	provider
나 혼자 산다(Home Alone)	2013	TV	15세이상관람가	['예능']	['한국']	['박나래', '화사', '성훈', '헨리', '김희민', '이시언', '한혜진']	['황지영']	60	['웨이브', '왓챠', 'seezn']
선덕여왕(The Great Queen Seondeok)	2009	TV	15세이상관람가	['드라마']	['한국']	['이요원', '고현정', '박예진', '엄태웅', '김남길', '조민기']	['박홍균', '김근홍']		['웨이브', '왓챠']
빅뱅이론 시즌 3(The Big Bang Theory)	2009	TV	15세이상관람가	['코미디', '멜로/로맨스']	['미국']	['자니 갈렉키 ', '짐 파슨스', '사이몬 헬버그', '쿠널 나이어', '칼리 쿠오코', '케빈 서스만']	['척 로리', '빌 프래디']		['넷플릭스', '왓챠']
역도산(Rikidozan: A Hero Extraordinary)	2004	movie	12세이상관람가	['드라마', '액션']	['한국', '일본']	['설경구', '나카타니 미키', '후지 타츠야 ', '하기와라 마사토', '스즈키 사와', '야마모토 타로', '후나키 마사카츠']	['송해성']	137	['티빙']
뷰티풀 보이(Beautiful Boy)	2018	movie	15세이상관람가	['드라마']	['미국']	['스티브 카렐', '티모시 샬라메', '마우라 티어니', '에이미 라이언 ', '크리스티안 콘베리', '오클리 불', '잭 딜런 그레이저 ']	['펠릭스 반 그뢰닝엔']	112	['아마존 프라임 비디오']
머더 미스터리(Murder Mystery)	2019	movie	15세이상관람가	['코미디', '액션', '미스터리']	['미국']	['아담 샌들러', '제니퍼 애니스톤', '루크 에반스 ', '테렌스 스탬프', '젬마 아터튼', '데이비드 월리엄스', '존 카니']	['카일 뉴어첵']	96	['넷플릭스']
올모스트 페이머스(Almost Famous)	2000	movie	15세이상관람가	['드라마']	['미국']	['빌리 크루덥 ', '프란시스 맥도맨드', '케이트 허드슨 ', '제이슨 리', '패트릭 후짓', '안나 파킨', '페어루자 볼크']	['카메론 크로우']	122	['왓챠']
THE K2(THE K2)	2016	TV	15세이상관람가	['드라마', '액션']	['한국']	['지창욱', '송윤아', '임윤아', '조성하', '김갑수', '이정진', '손태영']	['곽정환']		['넷플릭스', '티빙']
쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?(Fireworks, Should We See it from the Side or the Bottom?)	2017	movie	15세이상관람가	['멜로/로맨스', '애니메이션']	['일본']	['히로세 스즈', '스다 마사키', '미야노 마모루', '마츠 다카코', '하나자와 카나', '아사누마 신타로 ', '토요나가 토시유키']	['신보 아키유키']	90	['넷플릭스', '웨이브', '티빙 (자막)', '왓챠']
크라임씬 2()	2015	TV	15세이상관람가	['예능']	['한국']	['장진', '박지윤', '장동민', '홍진호', '안희연', '표창원']	['윤현준']		['티빙']
스노우맨(The Snowman)	1982	movie	전체관람가	['애니메이션']	['영국']	[]	['다이앤 잭슨']	26	['seezn']
카오스 워킹(Chaos Walking)	2021	movie	15세이상관람가	['어드벤처(모험)', 'SF']	['미국']	['톰 홀랜드', '데이지 리들리', '매즈 미켈슨 ', '데이빗 오예로워 ', '데미안 비쉬어', '닉 조나스', '신시아 에리보']	['더그 라이만']	109	['티빙', '쿠팡플레이', 'seezn']
미남이시네요(You're Beautiful)	2009	TV	15세이상관람가	['드라마']	['한국']	['장근석', '박신혜', '이홍기', '정용화', '유이', '김성령', '김인권']	['홍성창']		['웨이브', 'seezn']
범인은 바로 너! 시즌 1(Busted!)	2018	TV	15세이상관람가	['예능']	['한국']	['유재석', '안재욱', '김종민', '이광수', '박민영', '세훈', '김세정']	[]		['넷플릭스']
나의 독재자(My Dictator)	2014	movie	15세이상관람가	['드라마']	['한국']	['설경구', '박해일', '윤제문', '이병준', '류혜영', '이규형', '박민수']	['이해준']	127	['웨이브', '티빙', '왓챠', 'seezn']
야인시대(Rustic Period)	2002	TV	15세이상관람가	['드라마']	['한국']	['안재모', '곽정욱', '김영철', '차광수', '이원종', '박준규', '이혁재']	['장형일']		['웨이브', '왓챠']
빅()	2012	TV	15세이상관람가	['드라마']	['한국']	['공유', '고수희', '안석환', '이민정', '윤해영', '수지']	['지병현', '김성윤']		['웨이브', '왓챠']
하트시그널 3(Heart Signal 3)	2020	TV	15세이상관람가	['예능']	['한국']	['이상민', '김이나', '양재웅', '윤시윤', '한혜진', '피오', '천인우']	['이진민']		['넷플릭스', '웨이브', '티빙', '디즈니+', '왓챠', '왓챠']
굿 닥터 시즌 1(The Good Doctor)	2017	TV	15세이상관람가	['드라마']	['미국']	['프레디 하이모어', '안토니아 토마스', '힐 하퍼', '리차드 쉬프', '니콜라스 곤잘레스']	['마이크 리스토']		['넷플릭스', '왓챠', '쿠팡플레이']
플래시 시즌 1(The Flash)	2014	TV	15세이상관람가	['드라마', '액션', '어드벤처(모험)']	['미국']	['그랜트 거스틴', '캔디스 패튼', '다니엘 파나베이커', '카를로스 발데스', '릭 코스넷']	['그렉 버랜티', '지오프 존스', '앤드류 크레이스버그']		['넷플릭스']
너에게 닿기를()	2009	TV	12세이상관람가	['애니메이션']	['일본']	[]	['카부라기 히로']		['라프텔 (더빙)']
34번가의 기적(Miracle On 34Th Street)	1994	movie	전체관람가	['드라마', '가족']	['미국']	['리차드 아텐보로', '엘리자베스 퍼킨스', '딜란 맥더모트', 'J.T. 월쉬', '제임스 레마', '제인 리브스 ', '사이먼 존스 ']	['레스 메이필드']	114	['디즈니+']
청춘 돼지는 바니걸 선배의 꿈을 꾸지 않는다(Rascal Does not Dream of Bunny Girl Senpai)	2018	TV	15세이상관람가	['애니메이션']	['일본']	['세토 아사미', '이시카와 카이토']	['마스이 소이치']		['넷플릭스', '웨이브', '왓챠', '라프텔']
해변의 에트랑제(L' ETARNGER DU PLAGE)	2020	movie	15세이상관람가	['애니메이션']	['일본']	[]	['오오하시 아키요']	59	['넷플릭스', '웨이브', '티빙 (더빙)', '티빙 (자막)', '왓챠', '라프텔 (자막)', '라프텔 (더빙)']
극주부도()	2020	TV	15세이상관람가	['드라마', '코미디']	['일본']	['타마키 히로시', '카와구치 하루나 ', '시손 쥰  ', '타마시로 티나 ']	[]		['왓챠']
더 포가튼 배틀(The Forgotten Battle)	2021	movie	청소년관람불가	['전쟁']	['네덜란드']	['수잔 래더', '제이미 아터스']	['매티스 반 헤이닌겐 주니어']	124	['넷플릭스']
초콜릿(Chocolate)	2019	TV	15세이상관람가	['드라마']	['한국']	['윤계상', '하지원', '장승조', '민진웅', '유태오', '강부자', '이재룡']	['이형민']		['넷플릭스', '티빙', 'seezn']
베이츠 모텔 시즌 1(Bates Motel)	2013	TV		['드라마', '스릴러']	['미국', '미정']	['베라 파미가', '프레디 하이모어', '맥스 티에리옷', '올리비아 쿡', '네스터 카보넬', '니콜라 펠츠 ', '키넌 트레이시']	['터커 게이츠']		['왓챠']
외성여생시소칠(My Girlfriend is an Alien)	2021	TV	15세이상관람가	['코미디', '멜로/로맨스', '판타지']	['중국']	['만붕', '서지현', '왕유균', '양 웨']	[]		['넷플릭스', '웨이브', '티빙', '왓챠']
꽃보다 누나(Flower sister)	2013	TV	15세이상관람가	['예능']	['한국']	['이승기', '윤여정', '김자옥', '김희애', '이미연']	['나영석']		['티빙']
돌싱글즈 시즌 2()	2021	TV	15세이상관람가	['예능']	['한국']	['이혜영', '이지혜', '유세윤', '정겨운']	[]		['넷플릭스', '티빙', '왓챠', 'seezn']
패싱(Passing)	2021	movie	15세이상관람가	['드라마']	['미국']	['테사 톰슨', '루스 네가', '안드레 홀랜드', '알렉산더 스카스가드', '빌 캠프']	['레베카 홀']	99	['넷플릭스']
천국의 계단()	2003	TV	15세이상관람가	['드라마', '멜로/로맨스']	['한국']	['권상우', '최지우', '신현준', '김태희', '이휘향', '박신혜']	[]		['웨이브']
자백(Confession)	2019	TV	15세이상관람가	['드라마']	['한국']	['준호', '유재명', '신현빈', '남기애', '최광일', '이기혁', '정희태']	['김철규']		['티빙']
오타쿠에게 사랑은 어려워(Wotakoi: Love is Hard for Otaku)	2020	movie	12세이상관람가	['코미디', '멜로/로맨스']	['일본']	['타카하타 미츠키', '야마자키 켄토 ', '나나오', '사이토 타쿠미', '카쿠 켄토', '이마다 미오']	['후쿠다 유이치']	114	['웨이브', '왓챠']
크리미널 마인드 시즌 15(Criminal Minds)	2020	TV	15세이상관람가	['드라마', '미스터리', '범죄']	['미국', '캐나다']	['매튜 그레이 구블러', '커스틴 뱅스니스', 'A.J.쿡', '조 맨테그나', ' 토마스 깁슨', '쉐마 무어']	['펠릭스 엔리퀘즈 알카라', '글렌 커쇼']		['디즈니+']
통 메모리즈()	2016	TV	15세이상관람가	['드라마']	['한국']	['이학주', '허지원', '이재윤', '학진']	['최성은']		['넷플릭스', '웨이브', '왓챠']
더 리틀 아워즈(The Little Hours)	2017	movie	청소년관람불가	['코미디']	['미국', '이탈리아']	['알리슨 브리', '데이브 프랭코 ', '케이트 미쿠치', '존 C.라일리']	['제프 바에나']	90	['티빙', '왓챠']
