"구분별(1)",구분별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),사례수 (건),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 (%),분기/연간1회 (%),사례수 (건),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 (%),분기/연간1회 (%),사례수 (건),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 (%),분기/연간1회 (%)
"상세직업",농림어업종사자,35,6.1,15.7,5.2,6.5,29.2,31.6,5.7,0.0,67,15.4,5.3,1.6,21.3,28.1,14.6,13.8,0.0,133,22.8,5.0,7.1,12.7,38.1,9.7,4.5,0.2
"상세직업",기능원및관련기능종사자,175,12.5,16.8,7.5,11.6,31.2,19.0,1.3,0.0,291,21.5,18.7,10.8,21.6,17.7,6.5,3.2,0.0,315,28.4,21.5,5.5,19.2,16.9,5.7,2.8,0.0
"상세직업",장치기계조작및조립종사자,228,12.0,12.1,3.8,17.4,32.9,17.6,4.2,0.0,381,29.0,13.1,11.9,19.4,17.6,6.4,2.6,0.0,454,29.3,17.6,7.1,16.2,25.1,3.5,1.0,0.3
"상세직업",단순노무종사자,176,13.2,10.7,7.6,13.4,29.3,21.3,3.5,1.0,365,27.6,11.7,10.0,17.8,18.9,11.3,2.6,0.0,407,30.3,15.0,8.9,13.2,21.6,8.6,2.5,0.0
"상세직업",직업군인,10,0.0,0.0,0.0,57.1,42.9,0.0,0.0,0.0,12,3.6,0.0,75.5,9.8,4.3,6.8,0.0,0.0,11,78.3,7.6,0.0,10.6,3.5,0.0,0.0,0.0
"상세직업",학생,940,33.4,12.7,11.6,10.3,22.9,6.6,1.9,0.7,1428,47.5,15.5,9.1,10.1,15.4,1.5,0.8,0.1,1489,48.4,14.8,10.1,10.8,13.6,1.9,0.5,0.0
"상세직업",전업주부,532,18.1,16.2,5.2,12.9,29.3,13.9,3.4,0.9,982,36.7,10.1,10.6,14.4,17.8,8.2,2.2,0.0,1073,36.5,12.4,9.1,16.4,18.3,6.9,0.5,0.1
"상세직업",군인(직업군인제외),4,0.0,19.5,0.0,27.4,53.1,0.0,0.0,0.0,5,86.7,0.0,0.0,13.3,0.0,0.0,0.0,0.0,8,42.8,29.8,0.0,18.3,0.0,0.0,9.0,0.0
"상세직업",기타/무직,231,29.8,15.8,9.4,8.9,26.9,6.8,1.8,0.6,340,47.4,11.2,9.6,7.6,17.7,4.0,2.6,0.0,423,45.3,16.9,5.4,11.6,15.2,4.5,1.1,0.0
"주택형태",단독주택,1013,17.9,12.9,8.2,13.5,32.5,10.7,3.3,1.1,1495,29.1,10.8,11.5,15.8,21.7,9.2,1.9,0.0,1786,31.6,15.6,7.2,15.2,21.4,7.0,1.9,0.1
"주택형태",아파트,2564,23.3,14.2,8.7,13.6,26.5,10.4,3.1,0.3,4292,37.8,17.5,9.4,13.7,16.2,3.6,1.7,0.2,4735,38.3,15.1,9.3,15.5,16.6,4.4,0.7,-
"주택형태",연립주택빌라다세대주택,819,13.7,10.9,8.7,15.2,33.6,15.1,2.3,0.4,1528,32.9,13.9,10.5,14.9,20.6,5.7,1.5,0.1,1622,34.7,13.6,11.1,13.0,19.3,7.5,0.7,0.0
"주택형태",비거주용건물내의주택,60,56.2,21.7,0.0,9.0,12.8,0.3,0.0,0.0,97,41.1,18.5,26.3,0.0,6.9,5.9,1.4,0.0,139,59.0,21.4,13.0,2.1,3.7,0.2,0.7,0.0
"주택형태",기타,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,19.8,13.1,17.2,0.0,0.0,49.9,0.0,0.0,13,20.7,3.0,1.4,2.1,0.0,72.8,0.0,0.0
"가족구성",1인가구,441,12.4,14.3,7.5,15.4,36.5,10.3,3.7,0.0,822,26.7,18.1,8.6,18.5,23.3,4.0,0.8,0.0,951,30.8,18.4,8.6,11.5,23.9,5.4,1.4,0.0
"가족구성",1세대가구,546,14.6,13.0,6.4,14.8,30.6,16.2,3.8,0.6,958,28.8,11.6,11.5,15.1,20.6,9.1,3.2,0.0,1264,26.1,16.1,9.6,16.3,20.1,10.0,1.6,0.2
"가족구성",2세대가구,3036,22.7,13.4,8.8,13.8,27.0,10.9,2.8,0.6,5015,37.6,16.1,10.1,13.2,16.8,4.5,1.6,0.2,5457,39.5,13.9,9.3,15.0,16.7,4.8,0.8,0.0
"가족구성",3세대가구,215,28.3,7.8,8.1,14.6,30.6,7.1,2.9,0.6,282,40.4,14.3,13.8,11.3,12.9,6.2,1.1,0.0,374,38.2,17.9,9.8,15.6,15.9,1.8,0.9,0.0
"가족구성",기타,219,18.9,17.4,11.5,8.0,34.8,8.2,1.2,0.0,357,30.3,10.7,11.6,17.0,20.1,8.9,1.5,0.0,247,42.0,16.2,7.8,11.0,14.3,8.8,0.0,0.0
"가구원수1",1인가구,441,12.4,14.3,7.5,15.4,36.5,10.3,3.7,0.0,822,26.7,18.1,8.6,18.5,23.3,4.0,0.8,0.0,951,30.8,18.4,8.6,11.5,23.9,5.4,1.4,0.0
"가구원수1",2인가구,919,16.9,14.2,9.1,14.0,29.8,12.8,2.7,0.3,1586,30.8,12.2,10.2,15.3,20.4,8.8,2.3,0.0,1947,29.1,15.5,9.9,16.9,18.4,9.1,1.1,0.1
"가구원수1",3인이상가구,3097,23.1,13.0,8.4,13.5,27.6,10.8,2.9,0.6,5027,37.7,16.0,10.6,13.0,16.4,4.4,1.7,0.2,5395,40.2,14.2,9.1,14.5,16.7,4.4,0.8,0.0
"가구주와의관계",가구주,1698,14.6,14.4,8.3,13.8,32.1,13.1,3.5,0.3,3091,29.3,15.1,10.7,15.8,20.3,6.3,2.3,0.2,3545,30.4,16.5,9.5,15.0,20.6,6.5,1.4,-
"가구주와의관계",가구주의배우자,978,16.9,13.5,5.9,14.8,28.9,14.5,4.3,1.1,1709,31.4,12.9,10.7,15.8,18.6,8.3,2.3,0.0,1982,31.9,13.1,9.0,16.4,19.8,8.9,0.9,-
"가구주와의관계",가구주의자녀,1644,28.8,12.7,10.2,13.4,25.5,7.1,1.8,0.5,2427,44.9,17.9,9.4,10.7,14.7,1.9,0.5,0.1,2544,47.8,15.0,9.3,12.6,13.2,1.9,0.4,0.0
"가구주와의관계",자녀의배우자,20,27.7,7.1,5.0,24.6,30.3,5.3,0.0,0.0,34,23.3,11.5,15.7,6.0,40.0,3.5,0.0,0.0,28,34.6,20.1,14.0,16.0,12.6,2.6,0.0,0.0
"가구주와의관계",손자.녀/그배우자,43,25.7,9.6,5.4,12.9,39.8,6.7,0.0,0.0,67,47.1,10.8,11.9,14.7,15.5,0.0,0.0,0.0,75,47.3,11.7,13.5,18.0,7.8,1.8,0.0,0.0
"가구주와의관계",부모(배우자부모포함),11,39.0,5.5,0.0,0.0,0.0,55.6,0.0,0.0,20,38.5,12.1,0.0,36.3,6.1,0.0,6.9,0.0,22,35.1,5.1,0.0,34.2,13.6,2.0,10.0,0.0
"가구주와의관계",형제자매/그배우자,44,27.0,11.6,18.6,5.4,35.1,2.3,0.0,0.0,73,32.5,14.1,15.6,18.9,11.8,7.1,0.0,0.0,76,56.1,5.4,2.0,21.0,12.1,3.4,0.0,0.0
"가구주와의관계",기타친인척,15,44.2,0.0,0.0,14.8,0.0,41.0,0.0,0.0,10,11.3,5.4,0.0,0.0,32.5,50.9,0.0,0.0,14,34.1,2.0,21.0,4.7,0.0,38.2,0.0,0.0
"가구주와의관계",동거인,4,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9,20.1,0.0,0.0,0.0,79.9,0.0,0.0,0.0
